               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.064923,            0.010841,           0.0050226,             0.30964,             0.19846,             0.14253,            0.045149,            0.076593,            0.011049,           0.0088236,           0.0070686,           0.0070686,           0.0070686
                  60,            0.060872,             0.01071,           0.0044861,             0.40443,             0.15171,             0.11247,            0.029582,            0.081393,            0.011398,            0.010097,           0.0069799,           0.0069799,           0.0069799
                  61,            0.063586,            0.010657,           0.0048608,              0.2964,             0.19659,             0.13517,            0.038094,            0.087251,             0.01152,            0.010653,           0.0068906,           0.0068906,           0.0068906
                  62,            0.060938,            0.010864,             0.00528,             0.29308,             0.25619,             0.19686,            0.055544,            0.075978,            0.011039,           0.0088384,           0.0068006,           0.0068006,           0.0068006
                  63,              0.0608,            0.010405,           0.0050634,             0.31439,             0.24895,             0.16777,            0.048268,            0.070911,            0.011186,           0.0080402,           0.0067101,           0.0067101,           0.0067101
                  64,            0.061029,            0.010221,           0.0052206,             0.34541,              0.1641,             0.13355,            0.028981,            0.078209,            0.011505,            0.009039,           0.0066191,           0.0066191,           0.0066191
                  65,            0.062209,            0.010647,           0.0045279,             0.28392,             0.26508,             0.17522,            0.051173,            0.073858,            0.010918,           0.0078772,           0.0065276,           0.0065276,           0.0065276
                  66,            0.058362,            0.010424,           0.0045349,             0.20819,             0.22693,             0.13287,            0.040075,            0.075824,            0.010902,            0.009971,           0.0064356,           0.0064356,           0.0064356
                  67,            0.061232,            0.010259,           0.0040789,             0.37214,             0.20921,             0.16704,            0.044236,            0.074402,            0.010765,           0.0090596,           0.0063432,           0.0063432,           0.0063432
                  68,            0.059005,            0.011122,           0.0042393,             0.18965,             0.26157,             0.13799,            0.044552,            0.071525,            0.011243,           0.0092655,           0.0062505,           0.0062505,           0.0062505
                  69,            0.058283,            0.010588,           0.0038957,             0.21777,             0.33275,             0.15628,            0.046001,             0.07259,            0.011051,           0.0099337,           0.0061574,           0.0061574,           0.0061574
                  70,            0.056666,            0.011018,           0.0041156,             0.20212,             0.26858,             0.16557,            0.052514,             0.07494,            0.010523,            0.008565,            0.006064,            0.006064,            0.006064
                  71,             0.05712,            0.010927,           0.0041346,             0.37885,             0.21279,             0.16865,            0.056509,            0.076645,            0.010864,           0.0073929,           0.0059704,           0.0059704,           0.0059704
                  72,            0.056525,             0.01087,           0.0037686,             0.23171,             0.23983,             0.16207,            0.043842,            0.076411,            0.011039,           0.0079573,           0.0058766,           0.0058766,           0.0058766
                  73,            0.055216,            0.010533,           0.0037714,             0.33565,             0.18396,             0.15379,            0.039083,            0.078056,            0.011123,           0.0075398,           0.0057826,           0.0057826,           0.0057826
                  74,            0.056899,            0.010388,            0.003925,             0.30285,             0.24007,             0.17092,            0.044654,            0.075512,            0.011049,           0.0073557,           0.0056884,           0.0056884,           0.0056884
                  75,            0.056278,            0.010587,           0.0036411,              0.3628,             0.18934,             0.15185,            0.047833,            0.073205,            0.010835,           0.0076786,           0.0055942,           0.0055942,           0.0055942
                  76,            0.055823,            0.010082,           0.0040334,             0.32062,              0.2159,             0.15069,            0.049287,            0.072374,            0.010792,           0.0065585,              0.0055,              0.0055,              0.0055
                  77,            0.056569,            0.011026,           0.0037654,             0.42479,             0.18046,             0.15236,            0.041167,            0.074209,            0.010659,           0.0080961,           0.0054058,           0.0054058,           0.0054058
                  78,            0.052958,            0.010482,           0.0034677,             0.32342,             0.23282,             0.16906,            0.051856,            0.075647,            0.010564,           0.0077208,           0.0053116,           0.0053116,           0.0053116
                  79,            0.051485,            0.010277,           0.0034165,             0.34756,             0.22931,             0.19159,            0.059618,            0.072217,            0.010468,           0.0084522,           0.0052174,           0.0052174,           0.0052174
                  80,            0.053482,            0.010336,           0.0034181,             0.20228,             0.28737,             0.16767,            0.052038,             0.07731,            0.010958,            0.010463,           0.0051234,           0.0051234,           0.0051234
                  81,            0.049613,            0.010019,           0.0034535,             0.28894,             0.23259,             0.15822,            0.048973,            0.072117,            0.010599,           0.0095785,           0.0050296,           0.0050296,           0.0050296
                  82,            0.054545,            0.010225,           0.0035868,             0.39315,             0.26253,             0.19351,            0.058091,            0.073633,            0.010989,           0.0078548,            0.004936,            0.004936,            0.004936
                  83,            0.052342,            0.010193,           0.0030806,              0.2316,             0.20734,             0.15312,            0.056972,             0.07525,            0.010973,            0.010213,           0.0048426,           0.0048426,           0.0048426
                  84,            0.049711,            0.010158,           0.0032295,             0.26497,             0.23422,             0.18796,            0.054661,            0.074519,            0.010911,           0.0077191,           0.0047495,           0.0047495,           0.0047495
                  85,            0.052727,            0.010658,           0.0032154,              0.3481,             0.21459,             0.19314,            0.054334,            0.072745,            0.011102,            0.007835,           0.0046568,           0.0046568,           0.0046568
                  86,            0.051845,            0.010295,            0.002859,             0.37718,             0.20722,             0.18235,            0.066185,            0.071237,            0.010893,           0.0076506,           0.0045644,           0.0045644,           0.0045644
                  87,            0.049939,           0.0099753,           0.0028115,             0.43703,             0.22183,             0.19261,            0.070956,            0.070688,            0.010773,           0.0071297,           0.0044724,           0.0044724,           0.0044724
                  88,            0.050137,            0.010471,           0.0028175,             0.35043,              0.2382,             0.19213,            0.068823,            0.071308,            0.011399,            0.009527,           0.0043809,           0.0043809,           0.0043809
