               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.049951,            0.010066,           0.0026852,             0.28651,             0.28144,             0.19278,            0.067689,            0.070423,            0.011423,           0.0091651,           0.0043809,           0.0043809,           0.0043809
                  89,            0.048762,           0.0098884,           0.0025371,             0.25189,             0.24895,             0.16015,            0.053555,            0.068077,            0.010913,           0.0089287,           0.0042899,           0.0042899,           0.0042899
                  90,            0.049573,           0.0096465,           0.0027306,             0.29952,             0.24708,             0.16475,              0.0538,            0.066725,            0.011006,           0.0086137,           0.0041994,           0.0041994,           0.0041994
                  91,            0.049379,            0.010037,           0.0026774,             0.34775,             0.25353,             0.18852,            0.057919,            0.075042,             0.01098,           0.0083134,           0.0041094,           0.0041094,           0.0041094
                  92,            0.048811,           0.0096458,           0.0027658,             0.31482,             0.26695,              0.1951,            0.055437,            0.072117,            0.010862,           0.0093092,           0.0040201,           0.0040201,           0.0040201
                  93,            0.048244,           0.0095768,           0.0033321,             0.27755,             0.34455,             0.20819,            0.066385,            0.074291,            0.010997,           0.0086016,           0.0039314,           0.0039314,           0.0039314
                  94,            0.047311,            0.010122,           0.0026032,             0.29244,             0.29193,             0.18444,            0.056159,            0.073722,            0.010901,           0.0096202,           0.0038434,           0.0038434,           0.0038434
                  95,            0.048291,           0.0096158,           0.0021563,             0.36308,             0.20734,             0.17493,            0.057229,            0.070219,            0.011128,            0.011303,           0.0037562,           0.0037562,           0.0037562
                  96,            0.047854,           0.0095491,           0.0021534,             0.27892,             0.27396,             0.18033,              0.0559,            0.070765,               0.011,           0.0087012,           0.0036697,           0.0036697,           0.0036697
                  97,             0.04619,            0.010186,           0.0022138,             0.32077,             0.20196,             0.16536,            0.049975,             0.06859,            0.011018,           0.0093578,            0.003584,            0.003584,            0.003584
                  98,            0.045693,           0.0098674,           0.0021762,             0.27982,             0.23983,             0.17075,            0.053848,            0.071364,            0.010939,           0.0083707,           0.0034991,           0.0034991,           0.0034991
                  99,            0.045647,            0.010225,           0.0021948,             0.25782,             0.31019,               0.197,            0.057908,            0.072716,            0.010698,            0.008059,           0.0034152,           0.0034152,           0.0034152
                 100,            0.045107,            0.010087,           0.0018993,             0.28743,             0.27887,             0.20892,            0.068368,             0.07142,            0.010695,           0.0083494,           0.0033321,           0.0033321,           0.0033321
                 101,            0.044796,            0.010137,           0.0022045,             0.23313,             0.28121,             0.19077,            0.060862,            0.066768,            0.010619,            0.008092,             0.00325,             0.00325,             0.00325
                 102,            0.043037,           0.0096739,           0.0020519,             0.25465,             0.28471,             0.18799,            0.058162,            0.067878,            0.010824,           0.0073555,           0.0031689,           0.0031689,           0.0031689
                 103,            0.044945,            0.009644,           0.0020689,             0.32344,             0.26508,             0.19776,            0.063816,            0.067304,            0.010837,           0.0086207,           0.0030888,           0.0030888,           0.0030888
                 104,            0.043662,           0.0098056,           0.0019145,             0.30888,             0.26321,             0.19619,            0.060508,            0.069353,            0.010754,           0.0079716,           0.0030097,           0.0030097,           0.0030097
                 105,            0.043366,           0.0093303,           0.0021412,             0.36147,              0.2216,             0.20209,            0.063076,            0.067546,            0.010745,            0.008571,           0.0029318,           0.0029318,           0.0029318
                 106,            0.043605,            0.010208,           0.0022111,             0.29766,             0.25058,             0.19916,            0.058915,            0.070291,             0.01057,           0.0069373,            0.002855,            0.002855,            0.002855
                 107,            0.042817,           0.0096835,           0.0019249,             0.23973,             0.32071,             0.18093,            0.051731,            0.072027,            0.010544,           0.0078378,           0.0027793,           0.0027793,           0.0027793
                 108,            0.042318,           0.0094753,           0.0018013,             0.30982,             0.25643,             0.17301,            0.046667,            0.070741,            0.010586,           0.0073894,           0.0027048,           0.0027048,           0.0027048
                 109,            0.042422,           0.0095594,           0.0018067,             0.31807,             0.26858,             0.21062,            0.060678,            0.072484,             0.01073,            0.008611,           0.0026316,           0.0026316,           0.0026316
                 110,            0.040987,           0.0091296,           0.0017635,             0.26425,             0.27747,             0.17996,            0.062698,            0.072829,            0.010731,           0.0081969,           0.0025596,           0.0025596,           0.0025596
                 111,            0.043344,           0.0093348,           0.0019089,             0.25894,             0.32609,             0.20461,            0.063619,             0.07148,            0.010701,           0.0094756,           0.0024889,           0.0024889,           0.0024889
                 112,            0.042223,           0.0092668,            0.001638,             0.31853,             0.22358,             0.19194,            0.054702,            0.070466,            0.010728,           0.0091831,           0.0024195,           0.0024195,           0.0024195
                 113,            0.039764,           0.0093337,           0.0017279,             0.25466,             0.33986,             0.18296,            0.057187,            0.071899,            0.010709,           0.0084248,           0.0023515,           0.0023515,           0.0023515
                 114,            0.042621,           0.0096709,           0.0015342,              0.2528,             0.27743,             0.18432,            0.057193,            0.070503,            0.010684,           0.0091506,           0.0022849,           0.0022849,           0.0022849
                 115,            0.042101,           0.0092611,           0.0015705,             0.31454,             0.24322,             0.18151,            0.055722,            0.069337,            0.010945,           0.0089646,           0.0022196,           0.0022196,           0.0022196
                 116,            0.040194,           0.0090676,           0.0015093,             0.29633,             0.25596,             0.20297,            0.062858,            0.069195,             0.01081,           0.0085549,           0.0021558,           0.0021558,           0.0021558
                 117,            0.041626,           0.0097569,           0.0018263,             0.23106,             0.35579,             0.18527,            0.053092,            0.068259,            0.010935,           0.0083857,           0.0020935,           0.0020935,           0.0020935
                 118,            0.041388,           0.0093344,           0.0017601,             0.34227,             0.25058,              0.1822,            0.057754,            0.069283,            0.011146,           0.0086364,           0.0020327,           0.0020327,           0.0020327
                 119,            0.042423,           0.0093917,           0.0016717,              0.3832,             0.27045,             0.21733,            0.059878,             0.07069,            0.011233,           0.0081154,           0.0019734,           0.0019734,           0.0019734
                 120,            0.042047,           0.0094558,           0.0018142,             0.35381,             0.25058,             0.18947,            0.058032,            0.071023,            0.011051,           0.0091544,           0.0019156,           0.0019156,           0.0019156
                 121,            0.040644,           0.0094096,           0.0020687,             0.27336,             0.25245,             0.17557,            0.050355,            0.070766,            0.010936,           0.0087798,           0.0018594,           0.0018594,           0.0018594
                 122,            0.041847,           0.0091814,           0.0021485,             0.31936,             0.31533,              0.1979,            0.067726,            0.068033,            0.010852,           0.0086336,           0.0018048,           0.0018048,           0.0018048
                 123,            0.041534,           0.0090113,           0.0031131,             0.24691,             0.30843,             0.18258,            0.059603,             0.07004,            0.010901,           0.0079169,           0.0017519,           0.0017519,           0.0017519
                 124,            0.041475,           0.0095041,           0.0022049,             0.35659,             0.23226,             0.19293,             0.06419,            0.072005,            0.010904,           0.0094671,           0.0017005,           0.0017005,           0.0017005
                 125,             0.04111,           0.0093471,           0.0015669,             0.28971,               0.299,             0.19293,            0.062321,            0.072321,            0.010862,           0.0083708,           0.0016509,           0.0016509,           0.0016509
                 126,            0.037937,           0.0096059,           0.0017783,             0.31746,             0.24643,             0.17515,            0.058275,            0.069647,            0.010925,           0.0086603,           0.0016029,           0.0016029,           0.0016029
                 127,            0.038519,            0.009802,           0.0018274,             0.25032,              0.3352,             0.19246,             0.05468,            0.069796,            0.010962,           0.0083702,           0.0015566,           0.0015566,           0.0015566
                 128,            0.039812,           0.0088081,           0.0018309,              0.2092,             0.29547,             0.16416,             0.04865,            0.070747,            0.010935,           0.0085514,           0.0015121,           0.0015121,           0.0015121
                 129,            0.038224,           0.0095192,           0.0016031,             0.26932,             0.26858,             0.17287,            0.055925,            0.071995,            0.010906,              0.0079,           0.0014693,           0.0014693,           0.0014693
                 130,             0.03892,           0.0090624,           0.0016403,             0.30536,             0.25222,              0.1908,            0.058334,            0.072254,            0.010798,           0.0084808,           0.0014283,           0.0014283,           0.0014283
                 131,            0.039291,           0.0086458,           0.0016242,             0.32671,             0.26457,             0.19627,            0.061146,            0.071069,            0.011116,            0.010446,            0.001389,            0.001389,            0.001389
                 132,            0.039502,           0.0090073,           0.0015513,             0.32822,             0.28121,             0.21544,            0.061201,            0.071188,            0.011108,           0.0092226,           0.0013516,           0.0013516,           0.0013516
                 133,            0.037962,           0.0094985,           0.0017321,             0.20613,             0.34946,             0.17713,            0.053674,            0.071603,            0.011088,           0.0085552,            0.001316,            0.001316,            0.001316
                 134,            0.039717,           0.0090328,           0.0021928,             0.21562,             0.31533,             0.16363,            0.051448,            0.071601,            0.011149,           0.0089042,           0.0012822,           0.0012822,           0.0012822
                 135,            0.037137,           0.0094277,           0.0013096,             0.25033,             0.32071,             0.20075,            0.060584,             0.07199,            0.011251,           0.0094804,           0.0012503,           0.0012503,           0.0012503
                 136,            0.037764,           0.0096092,           0.0016573,              0.2309,             0.34261,             0.19974,            0.058552,            0.071478,            0.011098,           0.0095387,           0.0012202,           0.0012202,           0.0012202
                 137,            0.036681,           0.0087909,           0.0013535,              0.2705,             0.28284,             0.18242,            0.057796,            0.070988,             0.01099,            0.010421,           0.0011921,           0.0011921,           0.0011921
                 138,            0.037311,            0.008935,           0.0012295,             0.31069,              0.2756,             0.19792,            0.057734,             0.07232,            0.010939,            0.010611,           0.0011658,           0.0011658,           0.0011658
                 139,            0.038376,           0.0088622,           0.0013806,             0.28221,             0.25596,             0.18067,            0.057762,            0.072074,            0.011051,            0.010028,           0.0011414,           0.0011414,           0.0011414
                 140,            0.036665,           0.0095558,           0.0012461,             0.27174,             0.29196,             0.18643,            0.057671,            0.072199,            0.010963,           0.0092181,           0.0011189,           0.0011189,           0.0011189
                 141,             0.03833,           0.0093461,           0.0014789,             0.32855,             0.24706,             0.19631,            0.061482,            0.071257,            0.011017,            0.010194,           0.0010983,           0.0010983,           0.0010983
                 142,            0.036943,            0.009143,           0.0027158,             0.25342,             0.26469,             0.18617,             0.06053,             0.07389,            0.010948,           0.0098356,           0.0010797,           0.0010797,           0.0010797
                 143,            0.038023,           0.0091528,            0.002031,             0.30147,             0.23258,              0.1747,            0.055262,            0.073195,            0.011234,            0.010563,            0.001063,            0.001063,            0.001063
                 144,            0.037545,           0.0087969,           0.0012917,             0.25035,             0.25947,             0.16908,            0.054832,            0.073534,            0.011194,            0.010219,           0.0010483,           0.0010483,           0.0010483
