               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.079542,            0.011912,           0.0080969,             0.24791,             0.12295,            0.077544,            0.021597,              0.0859,             0.01125,           0.0096557,           0.0088442,           0.0088442,           0.0088442
                  37,            0.077046,            0.012119,            0.008103,             0.27553,             0.13908,            0.060381,            0.014768,            0.092299,            0.012074,            0.010575,           0.0087804,           0.0087804,           0.0087804
                  38,            0.071531,            0.011652,           0.0071885,             0.16187,             0.15521,             0.05941,            0.010115,            0.090809,            0.012032,            0.011159,           0.0087151,           0.0087151,           0.0087151
                  39,            0.073726,            0.012162,           0.0074803,             0.16455,             0.17321,            0.071049,            0.018837,            0.080254,            0.011658,            0.009807,           0.0086485,           0.0086485,           0.0086485
                  40,            0.075337,            0.010912,            0.007709,              0.2067,             0.18396,             0.10222,            0.024941,            0.085397,            0.012768,           0.0090472,           0.0085805,           0.0085805,           0.0085805
                  41,            0.072838,            0.011516,            0.006579,             0.32287,             0.17158,             0.11266,            0.032683,             0.08207,             0.01131,           0.0089165,           0.0085111,           0.0085111,           0.0085111
                  42,            0.072975,            0.011168,           0.0066435,            0.094544,             0.19144,            0.050744,            0.013452,            0.088399,            0.011541,           0.0099608,           0.0084404,           0.0084404,           0.0084404
                  43,            0.074417,            0.010774,           0.0078359,             0.26472,            0.086723,            0.062635,            0.016386,            0.083861,            0.011216,            0.010079,           0.0083684,           0.0083684,           0.0083684
                  44,            0.073967,            0.011057,           0.0072587,             0.28634,             0.11624,            0.082295,            0.020387,            0.086398,             0.01203,            0.010402,           0.0082952,           0.0082952,           0.0082952
                  45,            0.072459,            0.011822,           0.0070379,             0.17252,             0.13721,            0.065443,            0.017256,            0.086941,            0.011951,            0.010644,           0.0082207,           0.0082207,           0.0082207
                  46,             0.07101,            0.011077,           0.0071373,             0.18274,             0.17719,            0.078672,            0.022319,            0.085044,            0.011553,           0.0096532,            0.008145,            0.008145,            0.008145
                  47,            0.066262,            0.011754,           0.0062091,             0.38421,             0.13558,            0.092083,            0.024833,            0.086642,            0.011663,            0.011166,           0.0080682,           0.0080682,           0.0080682
                  48,            0.070213,            0.011886,            0.006209,             0.36892,             0.22394,             0.13882,            0.032755,            0.076952,            0.011154,           0.0085666,           0.0079903,           0.0079903,           0.0079903
                  49,             0.06742,            0.011007,           0.0061421,              0.1315,             0.25432,             0.11568,            0.029045,            0.082232,            0.011589,           0.0097272,           0.0079112,           0.0079112,           0.0079112
                  50,            0.068594,            0.011125,           0.0058575,             0.42976,             0.17695,                0.14,             0.03542,            0.086165,            0.011319,           0.0093718,           0.0078311,           0.0078311,           0.0078311
                  51,            0.067072,            0.010742,           0.0051784,             0.40435,              0.1947,             0.15542,            0.043483,            0.074362,            0.011388,           0.0089568,             0.00775,             0.00775,             0.00775
                  52,            0.065393,            0.011536,           0.0054587,             0.26388,             0.16269,             0.10866,            0.027765,            0.078995,            0.011905,           0.0088535,           0.0076679,           0.0076679,           0.0076679
                  53,            0.068734,            0.011306,            0.006058,             0.18387,             0.25993,             0.14599,            0.045409,             0.07992,            0.012167,            0.010404,           0.0075848,           0.0075848,           0.0075848
                  54,             0.06644,            0.011286,           0.0069473,              0.2737,             0.21108,             0.14376,            0.044495,            0.076714,            0.011316,           0.0090173,           0.0075009,           0.0075009,           0.0075009
                  55,            0.065457,             0.01127,           0.0061832,             0.32073,             0.15708,            0.097452,            0.028349,            0.080271,            0.011571,           0.0098446,            0.007416,            0.007416,            0.007416
                  56,            0.063173,            0.010895,            0.005421,             0.40235,             0.17859,             0.13355,            0.035857,            0.080322,             0.01107,              0.0081,           0.0073303,           0.0073303,           0.0073303
                  57,            0.065443,             0.01115,           0.0055514,              0.2446,             0.19682,             0.12442,            0.041539,            0.082516,            0.010958,           0.0095012,           0.0072438,           0.0072438,           0.0072438
                  58,            0.067069,              0.0107,           0.0050136,             0.23392,              0.2597,             0.17558,            0.053536,            0.077275,              0.0109,           0.0077542,           0.0071566,           0.0071566,           0.0071566
                  59,            0.061093,            0.011196,           0.0053656,             0.27345,             0.21669,             0.13819,            0.041499,            0.079145,            0.011133,           0.0086776,           0.0070686,           0.0070686,           0.0070686
                  60,            0.060792,            0.011235,             0.00499,             0.25411,             0.17274,             0.12144,            0.027396,            0.083318,            0.011739,            0.015015,           0.0069799,           0.0069799,           0.0069799
                  61,            0.064562,            0.010849,           0.0057604,             0.21544,             0.21809,             0.12901,            0.038612,            0.083196,            0.011669,            0.011391,           0.0068906,           0.0068906,           0.0068906
                  62,             0.05985,            0.010675,           0.0049685,             0.25996,             0.19308,             0.11353,            0.037615,            0.084963,            0.011664,            0.010791,           0.0068006,           0.0068006,           0.0068006
