               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037818,           0.0087962,           0.0012542,             0.25285,             0.29381,              0.2026,            0.068255,            0.070929,             0.01101,           0.0095126,             0.00032,             0.00032,             0.09712
                   1,            0.035612,           0.0085001,           0.0011136,             0.26703,             0.28471,             0.19429,            0.061571,            0.072568,             0.01086,           0.0095392,          0.00064994,          0.00064994,             0.09415
                   2,            0.037441,           0.0084849,           0.0011537,             0.32089,             0.24756,             0.20742,            0.066066,            0.074373,            0.010921,           0.0086129,          0.00097961,          0.00097961,             0.09118
                   3,            0.036858,           0.0086241,           0.0011451,             0.33065,             0.23609,             0.19693,            0.061707,            0.073261,            0.010832,           0.0090937,           0.0013088,           0.0013088,            0.088209
                   4,            0.036634,           0.0082492,           0.0010733,             0.36217,             0.24147,             0.20997,            0.068152,            0.075275,            0.010864,           0.0085247,           0.0016374,           0.0016374,            0.085237
                   5,            0.039744,           0.0081507,           0.0019204,             0.29504,             0.26134,             0.20246,            0.072654,            0.076676,            0.010847,           0.0079611,           0.0019651,           0.0019651,            0.082265
                   6,             0.03783,           0.0086341,           0.0011225,             0.40199,             0.23983,             0.21877,            0.068006,            0.072485,            0.011098,           0.0091056,           0.0022918,           0.0022918,            0.079292
                   7,            0.038051,           0.0083003,          0.00094023,             0.31422,             0.23983,             0.18761,            0.065129,            0.072204,            0.011102,           0.0083309,           0.0026173,           0.0026173,            0.076317
                   8,            0.038258,           0.0082487,          0.00095161,             0.29188,             0.25222,             0.18524,            0.067513,            0.076415,            0.010945,            0.008941,           0.0029413,           0.0029413,            0.073341
                   9,            0.038275,           0.0088239,           0.0010355,             0.28137,             0.31159,             0.20334,            0.063295,            0.072405,             0.01117,             0.01047,           0.0032638,           0.0032638,            0.070364
                  10,            0.038475,           0.0086569,          0.00095174,             0.25173,             0.31346,             0.19434,            0.053809,            0.072924,            0.010928,           0.0089193,           0.0035844,           0.0035844,            0.067384
                  11,            0.039976,           0.0089631,          0.00099197,             0.33113,             0.25409,             0.19482,            0.057101,            0.073525,            0.010954,           0.0088234,            0.003903,            0.003903,            0.064403
                  12,            0.038217,            0.008827,          0.00094531,             0.28473,             0.26297,             0.18906,            0.057225,            0.074134,            0.011187,            0.007931,           0.0042195,           0.0042195,            0.061419
                  13,            0.040275,           0.0088879,           0.0012516,             0.26325,              0.2791,             0.18792,            0.063805,            0.074694,            0.011546,            0.010396,           0.0045336,           0.0045336,            0.058434
