               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12553,            0.021752,            0.025281,                   0,                   0,                   0,                   0,             0.13001,            0.018023,            0.023086,             0.00032,             0.00032,             0.09712
                   1,             0.11617,            0.016316,            0.019698,                   0,                   0,                   0,                   0,             0.11975,            0.016196,            0.018957,          0.00064994,          0.00064994,             0.09415
                   2,             0.11389,            0.013692,            0.016419,           8.442e-05,            0.014493,          4.2924e-05,          6.3972e-06,             0.11736,            0.014059,            0.015997,          0.00097961,          0.00097961,             0.09118
                   3,             0.11334,            0.012937,            0.014773,          7.8864e-05,            0.014493,          4.0736e-05,          4.0736e-06,              0.1148,            0.013646,            0.014698,           0.0013088,           0.0013088,            0.088209
